,simu_time,car_num,x_position,y_position,x_acce(m^2/s),y_acce(m^2/s),length(m),speed(m/s),LateralSpeed(m/s),accelaration(m^2/s),angel(du),roadID,LaneID,Lane_index,lane_position
81,10.0,zhongxinghuoche.1,19.05362128177658,-8.0,-4.905886005051434,0.0,9.6,3.616982340184041,0.0,0.7028604868915864,90.0,H,H_2,2.0,19.05362128177658
82,11.0,dakeche.1,46.94906052909791,-1.6,0.0,0.0,11.0,10.063231590925716,0.0,1.4209979760926217,90.0,H,H_4,4.0,46.94906052909791
83,11.0,dakeche.2,17.176784079917706,-1.6,-5.74431517496705,0.0,11.0,4.3189164159586655,0.0,2.5610487519996243,90.0,H,H_4,4.0,17.176784079917706
84,11.0,daxinghuoche.0,65.47640705751255,-11.2,4.548138246138115,0.0,13.0,8.86705466209678,0.0,0.7652269998448915,90.0,H,H_1,1.0,65.47640705751255
85,11.0,daxinghuoche.1,28.476262161542127,-11.2,-3.67318924493875,0.0,13.0,5.1938654171580305,0.0,0.9976591819198797,90.0,H,H_1,1.0,28.476262161542124
86,11.0,tedaxinghuoche.0,28.522245829203168,-14.4,-0.9737199357988171,0.0,16.0,4.220145481359213,0.0,0.7885484050842928,90.0,H,H_0,0.0,28.522245829203168
87,11.0,xiaokeche.1,5.576116640696892,-14.4,-2.7440288406623217,0.0,4.0,1.4761166406968917,0.0,1.4761166406968917,90.0,H,H_0,0.0,5.576116640696892
88,11.0,xiaoxinghuoche.0,59.81848738817498,-4.8,8.31034622536401,0.0,6.0,9.786462866060901,0.0,1.2777793914778162,90.0,H,H_3,3.0,59.81848738817498
89,11.0,xiaoxinghuoche.1,26.219607907300812,-4.8,-4.0906114428071305,0.0,6.0,5.695851423253771,0.0,0.8033574668457728,90.0,H,H_3,3.0,26.219607907300812
90,11.0,xiaoxinghuoche.2,8.388431977473157,-4.8,-4.110590342453468,0.0,6.0,1.585261080800302,0.0,0.8820901841274462,90.0,H,H_3,3.0,8.388431977473157
91,11.0,zhongxinghuoche.0,60.69834984701592,-8.0,7.601991511204069,0.0,9.6,9.187252592004372,0.0,0.664384246768897,90.0,H,H_2,2.0,60.69834984701592
92,11.0,zhongxinghuoche.1,23.606493622018025,-8.0,-4.6343802517629245,0.0,9.6,4.552872340241447,0.0,0.9358900000574062,90.0,H,H_2,2.0,23.606493622018025
